RoadID,Morning Peak(veh/h),Afternoon (veh/h),Evening Peak(veh/h),Night(veh/h)
1_3,2800,1500,2600,800
1_8,2200,1200,2100,600
2_3,2700,1400,2500,700
2_5,3000,1600,2800,650
3_5,3200,1700,3100,800
3_6,1800,1400,1900,500
3_9,2400,1300,2200,550
3_10,2300,1200,2100,500
4_2,3600,1800,3300,750
4_14,2800,1600,2600,600
5_11,2900,1500,2700,650
6_9,1700,1300,1800,450
7_8,3200,1700,3000,700
7_15,2800,1500,2600,600
8_10,2000,1100,1900,450
8_12,2400,1300,2200,500
9_10,1800,1200,1700,400
10_11,2200,1300,2100,500
11_F2,2100,1200,2000,450
12_1,2600,1400,2400,550
13_4,3800,2000,3500,800
14_13,3600,1900,3300,750
15_7,2800,1500,2600,600
F1_5,3300,2200,3100,1200
F1_2,3000,2000,2800,1100
F2_3,1900,1600,1800,900
F7_15,2600,1500,2400,550
F8_4,2800,1600,2600,600
